N,nominal_load,actual_load,P,generator,corr,condition,cue_noise,cost_int_mean,cost_int_sem,n_trials,cost_cum_mean,cost_cum_sem,initial_overlap_mean,initial_overlap_sem,final_overlap_mean,final_overlap_sem,retrieval_error_mean,retrieval_error_sem,success_mean,success_sem,iterations_mean,iterations_sem,pearson_cost_error,spearman_cost_error,pearson_cost_failure,spearman_cost_failure
128,0.05,0.046875,6,latent,0.15,correlated,0.05,1.0001486484582354,8.733799191976672e-06,600,1.0007425672718655,4.357885102599554e-05,0.899765625,0.0015052970262200685,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.15,correlated,0.1,1.0001492297372523,8.986046155245655e-06,600,1.0007454453711462,4.483567348618137e-05,0.8009635416666666,0.002159634746923546,0.999921875,7.812500000000003e-05,7.8125e-05,7.812500000000003e-05,1.0,0.0,2.0016666666666665,0.0016666666666666668,0.09580916141867343,0.06487393431754607,nan,nan
128,0.05,0.046875,6,latent,0.15,correlated,0.15,1.0001515964318357,8.867897722522994e-06,600,1.000757284158073,4.4251443062828505e-05,0.7018229166666666,0.002564012032639877,1.0,0.0,0.0,0.0,1.0,0.0,2.026666666666667,0.007379779057347347,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.15,correlated,0.2,1.0001528096235235,8.978456031254684e-06,600,1.0007633347246268,4.48014529324777e-05,0.5999739583333333,0.0027491382566059166,0.9995833333333334,0.0004166666666666667,0.0004166666666666667,0.00041666666666666664,0.9983333333333333,0.0016666666666666666,2.0766666666666667,0.01161348080359375,0.017484672464939337,0.043052664790191174,0.017484672464939337,0.043052664790191174
128,0.05,0.046875,6,latent,0.15,uncorrelated,0.05,1.000165310729123,1.0217958755666842e-05,600,1.0008256595974059,5.096266666826714e-05,0.90125,0.0014855129285747451,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.15,uncorrelated,0.1,1.000174104658723,1.1378385872991639e-05,600,1.000869450895363,5.673606205006212e-05,0.7975520833333334,0.0021770149367672507,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.15,uncorrelated,0.15,1.0001495539615481,9.255137060326684e-06,600,1.0007470366034492,4.6167316210543556e-05,0.7011979166666666,0.002523560342594402,1.0,0.0,0.0,0.0,1.0,0.0,2.013333333333333,0.00468641975743004,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.15,uncorrelated,0.2,1.0001574028119327,1.0442947079968762e-05,600,1.0007861181175641,5.207546989614092e-05,0.5962239583333333,0.0028674423795207976,1.0,0.0,0.0,0.0,1.0,0.0,2.0833333333333335,0.014137544127616515,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.25,correlated,0.05,1.000241934732112,1.492160491281912e-05,600,1.0012077667782417,7.438760248699292e-05,0.899609375,0.0014726683209594974,1.0,0.0,0.0,0.0,1.0,0.0,2.0033333333333334,0.0023550543175125337,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.25,correlated,0.1,1.0002833862249794,1.7383111017493087e-05,600,1.0014143355820502,8.664865923930085e-05,0.804765625,0.0020462645299195456,0.9992447916666667,0.0004496206374066534,0.0007552083333333333,0.0004496206374066534,0.995,0.0028819280320594325,2.02,0.008466109727145977,0.11684823163838304,0.10080552455121877,0.12529376633768236,0.1008195424790411
128,0.05,0.046875,6,latent,0.25,correlated,0.15,1.0002695819633303,1.6752670352805202e-05,600,1.00134551841647,8.349927634367572e-05,0.7002604166666667,0.0025840687665428194,0.9990364583333333,0.0004272476063232593,0.0009635416666666667,0.0004272476063232593,0.9966666666666667,0.0023550543175125337,2.0433333333333334,0.008963124438677009,0.1308273823771567,0.1257933304691739,0.06078994913753986,0.04006773700140222
128,0.05,0.046875,6,latent,0.25,correlated,0.2,1.0002673861216855,1.658572210754091e-05,600,1.0013345837862884,8.267128410785376e-05,0.6008072916666667,0.002897213194774681,0.9978385416666666,0.0009153850050258361,0.0021614583333333334,0.0009153850050258362,0.9916666666666667,0.003714315780554692,2.111666666666667,0.01506047291939204,0.29795208102085163,0.1957409992839285,0.2795103153092999,0.14745423570477662
128,0.05,0.046875,6,latent,0.25,uncorrelated,0.05,1.0001029020894232,5.683221749739838e-06,600,1.0005142118556811,2.837998693871457e-05,0.902421875,0.0016320316623799438,1.0,0.0,0.0,0.0,1.0,0.0,1.9983333333333333,0.0016666666666666668,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.25,uncorrelated,0.1,1.0001169330457786,6.572415597420044e-06,600,1.0005842709117294,3.281461243054962e-05,0.804453125,0.0021815334264253406,1.0,0.0,0.0,0.0,1.0,0.0,2.0033333333333334,0.0023550543175125337,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.25,uncorrelated,0.15,1.0001163970586635,6.835482560842665e-06,600,1.0005815712584547,3.4124485327969884e-05,0.6956770833333333,0.0026213703792604104,1.0,0.0,0.0,0.0,1.0,0.0,2.0166666666666666,0.005230718450397329,nan,nan,nan,nan
