N,nominal_load,actual_load,P,condition,n_reps,cost_cum_mean,cost_cum_sem,cost_int_mean,cost_int_sem,randers_write_mean,randers_write_sem,randers_erase_mean,randers_erase_sem,randers_asymmetry_mean,randers_asymmetry_sem
512,0.35,0.349609375,179,correlated,120,1.0585551703800529,0.0020460022887529303,1.000338026756678,1.2191166007431745e-05,1.015885952374842,0.0003519832456830405,0.9847901011385137,0.00032786315268012436,0.031095851236328263,0.000679837043812231
512,0.35,0.349609375,179,uncorrelated,120,1.0014004676234565,3.550643350350032e-05,1.0000078297060477,1.9867366401691784e-07,1.0000198257914297,3.790679836338112e-05,0.9999958336206658,3.762662883246685e-05,2.399217076387942e-05,7.553290166554852e-05
512,0.4,0.400390625,205,correlated,120,1.0710177570214001,0.0025855006356245726,1.0003605934464572,1.3671927152372922e-05,1.0166805826237553,0.0003749000883589877,0.9840406042691592,0.00034787298468125954,0.03263997835459613,0.0007227611590816223
512,0.4,0.400390625,205,uncorrelated,120,1.0015641969457418,3.889007352065055e-05,1.000007636604258,1.9006848768815095e-07,1.0000212617948947,4.032844367168763e-05,0.9999940114136213,4.0039673502698836e-05,2.725038127325552e-05,8.036773694864352e-05
512,0.45,0.44921875,230,correlated,120,1.0782522654496196,0.0027286277427960148,1.0003553919430568,1.2975432229622355e-05,1.016838893609235,0.00035907789150267346,0.9838718902768785,0.00033346814508915533,0.03296700333235631,0.0006925333382186255
512,0.45,0.44921875,230,uncorrelated,120,1.0016731100136012,3.763587441588023e-05,1.0000072808151161,1.6393628633251382e-07,0.9999193259470558,3.757634746359798e-05,1.0000952356831765,3.732027299010744e-05,-0.00017590973612063946,7.489634055879148e-05
512,0.5,0.5,256,correlated,120,1.0823854792849503,0.0028160454148157595,1.0003368525724585,1.2077600656657848e-05,1.0164280159703316,0.00035840735157506234,0.9842456891745855,0.00033459600854096014,0.032182326795746126,0.0006929914598598589
512,0.5,0.5,256,uncorrelated,120,1.0020451396365582,4.7831575203958306e-05,1.0000079974935168,1.872713931955201e-07,1.0000440979404872,4.3934361095686565e-05,0.9999718970465462,4.36329140006648e-05,7.220089394095741e-05,8.756699295883317e-05
512,0.55,0.55078125,282,correlated,120,1.0972892557969758,0.0033908184844100428,1.0003641286511293,1.3351025593186632e-05,1.0172870044702396,0.00038237460458924184,0.9834412528320191,0.0003559778245307716,0.033845751638220484,0.0007383414522071207
512,0.55,0.55078125,282,uncorrelated,120,1.0021592384134241,5.2833285089878944e-05,1.0000076656977868,1.8781983226308652e-07,0.9999761666659518,4.269541168511432e-05,1.000039164729622,4.239522532382463e-05,-6.299806367031091e-05,8.509033736730013e-05
512,0.6,0.599609375,307,correlated,120,1.1024562579309323,0.003730233437645036,1.0003534537286687,1.3542590609958487e-05,1.0171369255033815,0.0004031677982217033,0.9835699819539556,0.0003763779247574399,0.033566943549425875,0.0007795355184297831
512,0.6,0.599609375,307,uncorrelated,120,1.0024230722095406,4.953151534223224e-05,1.0000079027484003,1.6175899422185648e-07,1.000091244164373,4.101216056545768e-05,0.9999245613324279,4.076057357260388e-05,0.00016668283194495406,8.177248119349335e-05
1024,0.05,0.0498046875,51,correlated,120,1.014633672593326,0.000403427268215679,1.0002891784383825,8.033607405915029e-06,1.012523395625213,0.0001970773230366454,0.9880549612515519,0.00018122722754790625,0.02446843437366112,0.0003782953913652297
1024,0.05,0.0498046875,51,uncorrelated,120,1.000095046120003,4.319661093935922e-06,1.0000018637575834,8.470956018986417e-08,0.9999897313927626,1.9763559972075173e-05,1.0000139961224042,1.9632711255844593e-05,-2.4264729641641316e-05,3.9396124240996194e-05
1024,0.1,0.099609375,102,correlated,120,1.027644258221352,0.0007440757693593148,1.0002750500216073,7.510591192503249e-06,1.014367379392636,0.00021729547492809888,0.9861827206505784,0.00020245427684622763,0.02818465874205763,0.0004197433493873016
1024,0.1,0.099609375,102,uncorrelated,120,1.0001895706566477,5.338569194459355e-06,1.0000018587267456,5.234929764227165e-08,0.999983842844768,1.7151224138480663e-05,1.0000198746087237,1.707484615922536e-05,-3.603176395546396e-05,3.4225995381045896e-05
1024,0.15,0.150390625,154,correlated,120,1.0412978864707088,0.0012314836450875036,1.0002742496534451,8.363955031130882e-06,1.0153498393231128,0.0002591425475876885,0.9851986599837778,0.00024252208267739532,0.030151179339334946,0.0005016610590207161
1024,0.15,0.150390625,154,uncorrelated,120,1.0002863650438,7.942883330897576e-06,1.0000018598020084,5.1592765427264256e-08,0.9999953630630524,1.900849975233414e-05,1.0000083565409645,1.8933490396847828e-05,-1.2993477912034978e-05,3.7941923984298085e-05
1024,0.2,0.2001953125,205,correlated,120,1.0579411373273893,0.0016588081031388173,1.0002915796608227,8.60404849225532e-06,1.0164918189039063,0.00027480125959273183,0.984091340417739,0.0002577586595249462,0.032400478486167235,0.0005325545972629191
1024,0.2,0.2001953125,205,uncorrelated,120,1.0003871987082813,8.757411753159737e-06,1.000001889160218,4.2737576065479954e-08,0.999991816441467,1.9420103868247547e-05,1.0000119618789693,1.935308983249905e-05,-2.014543750256855e-05,3.8773157398320956e-05
1024,0.25,0.25,256,correlated,120,1.0702375518461262,0.0018382481673874984,1.0002847421222596,7.717435529489544e-06,1.0166686166973418,0.0002510639198101266,0.9839008675471775,0.00023575713352692502,0.03276774915016416,0.0004868170091871367
1024,0.25,0.25,256,uncorrelated,120,1.0004892783602728,1.0979607162753926e-05,1.0000019117372416,4.291215017104457e-08,0.9999859925292688,1.856251229223157e-05,1.0000178309452141,1.8496664683113583e-05,-3.183841594525579e-05,3.705913609607015e-05
1024,0.3,0.2998046875,307,correlated,120,1.0842221900255073,0.002201417666466669,1.0002867866023757,7.823921262961338e-06,1.0170417755819208,0.00026321648607098704,0.9835317976228305,0.0002477089025943955,0.03350997795909042,0.0005109211122594561
1024,0.3,0.2998046875,307,uncorrelated,120,1.0005826910194984,1.0447967629067718e-05,1.0000018985886134,3.4053391481570454e-08,0.9999868724964907,1.75166597161509e-05,1.0000169246807362,1.746790215009519e-05,-3.0052184245532577e-05,3.498452954863852e-05
1024,0.35,0.349609375,358,correlated,120,1.0995944754431541,0.0026178140627767356,1.000293142422837,8.06781858066498e-06,1.0174721404832416,0.00027032409398588847,0.9831141443624325,0.0002542859078808256,0.034357996120809066,0.0005246070135687592
1024,0.35,0.349609375,358,uncorrelated,120,1.0006933634194988,1.411824844241133e-05,1.000001937471929,3.9465789294816785e-08,1.0000045397769572,1.8190419968657727e-05,0.9999993351669002,1.8128546994754284e-05,5.204610057143085e-06,3.631893389625051e-05
1024,0.4,0.400390625,410,correlated,120,1.112235922109141,0.0033446769300006798,1.000290684400477,9.201446311280504e-06,1.0174907252573502,0.00030790550471438506,0.9830906435436039,0.0002896615898370982,0.03440008171374618,0.0005975622197427425
1024,0.4,0.400390625,410,uncorrelated,120,1.0007972060474015,1.414024012062155e-05,1.000001945207093,3.451720108788557e-08,1.000010675007929,1.804611071876313e-05,0.9999932154062565,1.7992955680962745e-05,1.7459601672268713e-05,3.60390394804469e-05
1024,0.45,0.4501953125,461,correlated,120,1.1242742503793457,0.003417185486154446,1.000287787465265,8.483256704222054e-06,1.0175554901951742,0.00028119223727920495,0.9830200847353555,0.00026433220149359843,0.034535405459818765,0.0005455211375628217
1024,0.45,0.4501953125,461,uncorrelated,120,1.0008931694908638,1.3321013735633438e-05,1.0000019383471492,2.8923300489914824e-08,1.0000326356389289,1.7282563366139338e-05,0.9999712410553697,1.7240324135007403e-05,6.139458355913229e-05,3.45228648773568e-05
