N,nominal_load,actual_load,P,generator,corr,condition,rep,mean_pair_overlap_abs,mean_q2,mean_cost_int,mean_cost_cum
128,0.05,0.046875,6,latent,0.15,uncorrelated,38,0.071875,0.00011982250527001056,1.000119809532025,1.000598788532016
128,0.05,0.046875,6,latent,0.15,correlated,39,0.07083333333333333,7.391577283154565e-05,1.000073912138599,1.0003694880503409
128,0.05,0.046875,6,latent,0.15,uncorrelated,39,0.08020833333333334,0.0001155115591481183,1.000115499630188,1.0005772598694789
128,0.05,0.046875,6,latent,0.15,correlated,40,0.07916666666666666,0.0005079166408332816,1.0005075912499821,1.0025314931994664
128,0.05,0.046875,6,latent,0.15,uncorrelated,40,0.084375,0.0005950922058094116,1.000594610243204,1.0029634929489308
128,0.05,0.046875,6,latent,0.15,correlated,41,0.06458333333333334,8.612204724409451e-05,1.000086116139774,1.0004304626475877
128,0.05,0.046875,6,latent,0.15,uncorrelated,41,0.075,1.7050034100068195e-05,1.0000170498237362,1.000085244911986
128,0.05,0.046875,6,latent,0.15,correlated,42,0.05416666666666667,0.00010956584413168827,1.0001095546559335,1.0005475497882426
128,0.05,0.046875,6,latent,0.15,uncorrelated,42,0.090625,0.00016433665679831358,1.000164320044723,1.0008212683703033
128,0.05,0.046875,6,latent,0.15,correlated,43,0.08854166666666667,0.00013047877658255318,1.0001304669180593,1.0006520976851652
128,0.05,0.046875,6,latent,0.15,uncorrelated,43,0.08020833333333334,7.598648009796021e-05,1.0000759822465144,1.0003798266185902
128,0.05,0.046875,6,latent,0.15,correlated,44,0.08125,0.0003566944633889267,1.0003565987687693,1.0017810855424931
128,0.05,0.046875,6,latent,0.15,uncorrelated,44,0.084375,0.00018937889438278875,1.0001893385667904,1.0009458882226197
128,0.05,0.046875,6,latent,0.15,correlated,45,0.06354166666666666,4.518016848533697e-05,1.0000451790399798,1.000225872636026
128,0.05,0.046875,6,latent,0.15,uncorrelated,45,0.05520833333333333,5.893644599789199e-05,1.0000589339191726,1.0002946190852318
128,0.05,0.046875,6,latent,0.15,correlated,46,0.065625,6.784896382292766e-05,1.0000678458081758,1.0003391659633694
128,0.05,0.046875,6,latent,0.15,uncorrelated,46,0.08541666666666667,0.00039437891375782746,1.0003942491549302,1.0019686601435864
128,0.05,0.046875,6,latent,0.15,correlated,47,0.06354166666666666,0.00011381624325748651,1.0001138042338573,1.000568781282453
128,0.05,0.046875,6,latent,0.15,uncorrelated,47,0.0625,0.0001078220906441813,1.0001078110120776,1.000538833759328
128,0.05,0.046875,6,latent,0.15,correlated,48,0.096875,0.0001889913936077872,1.000188958124194,1.0009441265968053
128,0.05,0.046875,6,latent,0.15,uncorrelated,48,0.06145833333333333,2.193012198524397e-05,1.0000219298538235,1.0001096439066035
128,0.05,0.046875,6,latent,0.15,correlated,49,0.07708333333333334,0.0001039470828941658,1.0001039391141961,1.0005195363471897
128,0.05,0.046875,6,latent,0.15,uncorrelated,49,0.06875,8.263454026908055e-05,1.0000826285954776,1.000413024185
128,0.05,0.046875,6,latent,0.25,correlated,0,0.08020833333333334,9.729902272304544e-05,1.000097293404324,1.0004863547236391
128,0.05,0.046875,6,latent,0.25,uncorrelated,0,0.08020833333333334,7.540522893545787e-05,1.0000754019078364,1.0003769431502898
128,0.05,0.046875,6,latent,0.25,correlated,1,0.09270833333333334,0.0006520063821377643,1.0006515652128096,1.0032490699443979
128,0.05,0.046875,6,latent,0.25,uncorrelated,1,0.06041666666666667,3.361569223138446e-05,1.0000336150965288,1.000168063570794
128,0.05,0.046875,6,latent,0.25,correlated,2,0.109375,0.00019267265097030196,1.0001926404624413,1.0009625598390006
128,0.05,0.046875,6,latent,0.25,uncorrelated,2,0.065625,5.42864366978734e-05,1.000054284776205,1.0002713906822782
128,0.05,0.046875,6,latent,0.25,correlated,3,0.10833333333333334,0.0007270483290966581,1.0007266288059367,1.0036248114357977
128,0.05,0.046875,6,latent,0.25,uncorrelated,3,0.09166666666666666,0.000204503534007068,1.0002044723184211,1.001021738353599
128,0.05,0.046875,6,latent,0.25,correlated,4,0.0625,5.3184481368962734e-05,1.0000531829476054,1.0002658840723708
128,0.05,0.046875,6,latent,0.25,uncorrelated,4,0.075,0.0002858786967573935,1.0002857980027844,1.0014273813343524
128,0.05,0.046875,6,latent,0.25,correlated,5,0.071875,0.0003487870256990514,1.0003486663078107,1.0017409268315114
128,0.05,0.046875,6,latent,0.25,uncorrelated,5,0.09166666666666666,9.348456196912397e-05,1.0000934795238916,1.0004672969160042
128,0.05,0.046875,6,latent,0.25,correlated,6,0.071875,4.4598917322834645e-05,1.0000445977767352,1.0002229660784716
128,0.05,0.046875,6,latent,0.25,uncorrelated,6,0.071875,0.00013837410487320978,1.0001383605123557,1.0006915310295998
128,0.05,0.046875,6,latent,0.25,correlated,7,0.09583333333333334,0.00037732887965775936,1.0003771727218094,1.0018827549960616
128,0.05,0.046875,6,latent,0.25,uncorrelated,7,0.0375,4.0203205406410815e-05,1.000040202349914,1.0002009946435704
128,0.05,0.046875,6,latent,0.25,correlated,8,0.08333333333333333,0.00014366591233182466,1.000143652814601,1.000718002383314
128,0.05,0.046875,6,latent,0.25,uncorrelated,8,0.07604166666666666,0.00019669297151094303,1.0001966502763942,1.0009823995815328
128,0.05,0.046875,6,latent,0.25,correlated,9,0.084375,0.00025811184434868873,1.0002580534191663,1.0012891018249659
128,0.05,0.046875,6,latent,0.25,uncorrelated,9,0.05625,3.5746946493892986e-05,1.0000357462343665,1.0001787169324607
128,0.05,0.046875,6,latent,0.25,correlated,10,0.071875,0.00033929325671151343,1.0003391638154036,1.0016932413405175
128,0.05,0.046875,6,latent,0.25,uncorrelated,10,0.08541666666666667,4.504696509393019e-05,1.0000450457621277,1.0002252047585325
128,0.05,0.046875,6,latent,0.25,correlated,11,0.090625,0.0005167686116622233,1.0005165192046603,1.002577635288872
128,0.05,0.046875,6,latent,0.25,uncorrelated,11,0.06354166666666666,9.114744791989585e-05,1.0000911413348048,1.000455584511837
128,0.05,0.046875,6,latent,0.25,correlated,12,0.09895833333333333,0.00023098679009858023,1.0002309572404011,1.001154196010743
128,0.05,0.046875,6,latent,0.25,uncorrelated,12,0.057291666666666664,3.80114041478083e-05,1.000038010627204,1.0001900376005597
128,0.05,0.046875,6,latent,0.25,correlated,13,0.11145833333333334,0.00040904339621179237,1.0004089253316388,1.0020422727020677
128,0.05,0.046875,6,latent,0.25,uncorrelated,13,0.09270833333333334,0.00013721160254820514,1.0001371980682485,1.0006857199630306
128,0.05,0.046875,6,latent,0.25,correlated,14,0.121875,0.0008655193091636183,1.0008647952493526,1.004309625570173
128,0.05,0.046875,6,latent,0.25,uncorrelated,14,0.071875,4.169266151032302e-05,1.0000416915857258,1.0002084364193462
128,0.05,0.046875,6,latent,0.25,correlated,15,0.078125,9.071150954801907e-05,1.0000907051918964,1.0004533997115976
128,0.05,0.046875,6,latent,0.25,uncorrelated,15,0.06354166666666666,6.460364483228966e-05,1.0000646009466918,1.0003229507974127
128,0.05,0.046875,6,latent,0.25,correlated,16,0.07083333333333333,8.786580073160147e-05,1.0000878592715257,1.0004391658917704
128,0.05,0.046875,6,latent,0.25,uncorrelated,16,0.06666666666666667,0.00024557861615723237,1.0002455097218836,1.0012261750603912
128,0.05,0.046875,6,latent,0.25,correlated,17,0.08020833333333334,5.176768166036333e-05,1.0000517661817987,1.0002588009213351
128,0.05,0.046875,6,latent,0.25,uncorrelated,17,0.05416666666666667,8.554079608159218e-05,1.000085535021277,1.000427559705068
128,0.05,0.046875,6,latent,0.25,correlated,18,0.08125,0.00011460335420670842,1.0001145926705464,1.0005727499231483
128,0.05,0.046875,6,latent,0.25,uncorrelated,18,0.075,0.00013049088598177198,1.0001304775849171,1.0006521222280627
128,0.05,0.046875,6,latent,0.25,correlated,19,0.11145833333333334,0.0004371372023994048,1.0004369504528328,1.0021810356181962
128,0.05,0.046875,6,latent,0.25,uncorrelated,19,0.10520833333333333,0.00022284927382354764,1.0002228047360169,1.001113135048971
128,0.05,0.046875,6,latent,0.25,correlated,20,0.06354166666666666,0.00011279905372310745,1.000112791089036,1.0005637962746066
128,0.05,0.046875,6,latent,0.25,uncorrelated,20,0.07708333333333334,0.000206247287494575,1.0002062051628353,1.0010301853413697
128,0.05,0.046875,6,latent,0.25,correlated,21,0.096875,0.0007463628208506417,1.0007457317578192,1.0037161557730057
128,0.05,0.046875,6,latent,0.25,uncorrelated,21,0.06354166666666666,0.00019669297151094303,1.0001966524542654,1.0009824538559753
128,0.05,0.046875,6,latent,0.25,correlated,22,0.103125,0.0005047560876371752,1.000504518587045,1.0025178693612866
128,0.05,0.046875,6,latent,0.25,uncorrelated,22,0.059375,3.069732701965404e-05,1.0000306968151553,1.0001534738403322
128,0.05,0.046875,6,latent,0.25,correlated,23,0.10104166666666667,0.00034529951872403744,1.0003451586787528,1.001722989142366
128,0.05,0.046875,6,latent,0.25,uncorrelated,23,0.07916666666666666,0.00011189084878169757,1.0001118818436725,1.0005592292928023
128,0.05,0.046875,6,latent,0.25,correlated,24,0.06666666666666667,8.999705499411001e-05,1.000089992073546,1.0004498607986705
128,0.05,0.046875,6,latent,0.25,uncorrelated,24,0.06875,0.00011731585963171927,1.0001173064071642,1.0005863431643944
128,0.05,0.046875,6,latent,0.25,correlated,25,0.08541666666666667,0.0001217721185442371,1.0001217599081533,1.0006085556240065
128,0.05,0.046875,6,latent,0.25,uncorrelated,25,0.08854166666666667,0.000196692971510943,1.0001966529647548,1.0009824665671256
128,0.05,0.046875,6,latent,0.25,correlated,26,0.08958333333333333,0.0001301033852067704,1.0001300904238748,1.0006501931983673
128,0.05,0.046875,6,latent,0.25,uncorrelated,26,0.06041666666666667,5.3378231756463504e-05,1.0000533766823532,1.0002668524330978
128,0.05,0.046875,6,latent,0.25,correlated,27,0.11458333333333333,0.0005788292826585652,1.0005785301845744,1.0028867039890421
128,0.05,0.046875,6,latent,0.25,uncorrelated,27,0.07604166666666666,8.974275761051521e-05,1.0000897376578475,1.0004485863622359
128,0.05,0.046875,6,latent,0.25,correlated,28,0.07395833333333333,0.00017562261687023375,1.000175596618705,1.0008774640425908
128,0.05,0.046875,6,latent,0.25,uncorrelated,28,0.06458333333333334,3.158131316262632e-05,1.0000315807763336,1.0001578931470092
128,0.05,0.046875,6,latent,0.25,correlated,29,0.09270833333333334,0.00018337263237026477,1.000183346299621,1.0009162057562329
128,0.05,0.046875,6,latent,0.25,uncorrelated,29,0.07708333333333334,5.7446989893979786e-05,1.0000574447185433,1.0002871781865645
128,0.05,0.046875,6,latent,0.25,correlated,30,0.065625,0.00018104762772025543,1.000181022721085,1.0009046162801163
128,0.05,0.046875,6,latent,0.25,uncorrelated,30,0.059375,0.00020269923352346706,1.0002026561986037,1.0010124224053543
128,0.05,0.046875,6,latent,0.25,correlated,31,0.07708333333333334,0.00011537835575671152,1.0001153697727305,1.0005766773431606
128,0.05,0.046875,6,latent,0.25,uncorrelated,31,0.07604166666666666,0.00018332419477338956,1.0001832839058795,1.0009156157019172
128,0.05,0.046875,6,latent,0.25,correlated,32,0.07916666666666666,4.601571703143406e-05,1.000046014536437,1.0002300490766654
128,0.05,0.046875,6,latent,0.25,uncorrelated,32,0.07083333333333333,4.640321780643561e-05,1.0000464020300182,1.0002319864008877
128,0.05,0.046875,6,latent,0.25,correlated,33,0.08229166666666667,0.0005823046802343604,1.0005819437124919,1.0029025495526023
128,0.05,0.046875,6,latent,0.25,uncorrelated,33,0.06979166666666667,6.712239986979975e-05,1.0000671194321133,1.0003355378352219
128,0.05,0.046875,6,latent,0.25,correlated,34,0.090625,0.0002571430924111848,1.0002570992556759,1.0012846211682667
128,0.05,0.046875,6,latent,0.25,uncorrelated,34,0.07604166666666666,0.00010490372543245087,1.0001048965673855,1.000524339786709
128,0.05,0.046875,6,latent,0.25,correlated,35,0.08020833333333334,0.0003919933621117242,1.0003918472142377,1.0019563250244092
128,0.05,0.046875,6,latent,0.25,uncorrelated,35,0.06666666666666667,5.105322710645421e-05,1.0000510516124275,1.0002552257801047
128,0.05,0.046875,6,latent,0.25,correlated,36,0.07604166666666666,0.00012737877038254076,1.0001273658306884,1.0006365706694724
128,0.05,0.046875,6,latent,0.25,uncorrelated,36,0.03333333333333333,5.454073408146817e-05,1.0000545392163793,1.00027266573647
128,0.05,0.046875,6,latent,0.25,correlated,37,0.07395833333333333,0.00012369751302002604,1.0001236855214555,1.000618188056803
128,0.05,0.046875,6,latent,0.25,uncorrelated,37,0.06145833333333333,8.242868048236097e-05,1.000082423038008,1.0004120024341268
128,0.05,0.046875,6,latent,0.25,correlated,38,0.09270833333333334,0.0002238664633579267,1.0002238224752835,1.0011182346344665
128,0.05,0.046875,6,latent,0.25,uncorrelated,38,0.07291666666666667,4.194695889391779e-05,1.000041945777561,1.0002097052689634
