N,nominal_load,actual_load,P,deltaF_cum_mean,deltaF_cum_sem,deltaF_int_mean,deltaF_int_sem,delta_randers_asymmetry_mean,delta_randers_asymmetry_sem,corr_cost_int_mean,uncorr_cost_int_mean,corr_cost_cum_mean,uncorr_cost_cum_mean,corr_randers_asymmetry_mean,uncorr_randers_asymmetry_mean
512,0.05,0.05078125,26,0.008830365488760483,0.00038075463591124117,0.00034146602690654504,1.4818574236835011e-05,0.019572843519345923,0.00045273445681335217,1.0003506654458545,1.000009199418948,1.0090695044169145,1.000239138928154,0.019756459945237684,0.00018361642589176014
512,0.1,0.099609375,51,0.01643621966322706,0.0006968448975710624,0.00032555156741187474,1.3952230949791314e-05,0.023681185551163702,0.0005864275712196388,1.0003331798230746,1.0000076282556627,1.0168251714927792,1.0003889518295521,0.02366983734478587,-1.134820637783418e-05
512,0.15,0.150390625,77,0.025858537164915818,0.0009797891529377948,0.00034104582545668727,1.3097939753956317e-05,0.026949908031416062,0.0006075291836830941,1.0003491290689157,1.000008083243459,1.0264807197484722,1.0006221825835564,0.027006790642991663,5.6882611575600114e-05
512,0.2,0.19921875,102,0.03421829491586825,0.001322531897227798,0.00034242440751741654,1.3463126942544331e-05,0.028733929907462107,0.0006802323870412148,1.0003501455632415,1.0000077211557241,1.0350054915402345,1.0007871966243662,0.02879559361242769,6.166370496558382e-05
512,0.25,0.25,128,0.041724425285048605,0.0013588621397275314,0.00033388033791226235,1.1102131068716855e-05,0.029626580810552246,0.0005826108776275186,1.0003414481921247,1.0000075678542124,1.0426926089621307,1.000968183677082,0.029617987872016253,-8.592938535993226e-06
512,0.3,0.30078125,154,0.049055583878699904,0.0018130089699496005,0.0003279370342250676,1.243702101825098e-05,0.03012332748214475,0.0006777005732623429,1.0003356364690015,1.0000076994347764,1.0502405373506662,1.0011849534719663,0.030159818559396073,3.649107725132254e-05
512,0.35,0.349609375,179,0.0571547027565964,0.002046310355836174,0.0003301970506301988,1.2192784745312827e-05,0.031071859065564384,0.0006840201936882935,1.000338026756678,1.0000078297060477,1.0585551703800529,1.0014004676234565,0.031095851236328263,2.399217076387942e-05
512,0.4,0.400390625,205,0.06945356007565828,0.0025857931036015838,0.0003529568421991591,1.3673248264030167e-05,0.032612727973322875,0.0007272156944258399,1.0003605934464572,1.000007636604258,1.0710177570214001,1.0015641969457418,0.03263997835459613,2.725038127325552e-05
512,0.45,0.44921875,230,0.07657915543601845,0.002728887285653096,0.00034811112794064236,1.297646780335462e-05,0.03314291306847695,0.0006965715227981486,1.0003553919430568,1.0000072808151161,1.0782522654496196,1.0016731100136012,0.03296700333235631,-0.00017590973612063946
512,0.5,0.5,256,0.08034033964839216,0.002816451604038556,0.0003288550789417588,1.2079052454410962e-05,0.03211012590180517,0.0006985020699286085,1.0003368525724585,1.0000079974935168,1.0823854792849503,1.0020451396365582,0.032182326795746126,7.220089394095741e-05
512,0.55,0.55078125,282,0.09513001738355165,0.0033912300644795847,0.0003564629533425734,1.3352346635678532e-05,0.0339087497018908,0.0007432284073961387,1.0003641286511293,1.0000076656977868,1.0972892557969758,1.0021592384134241,0.033845751638220484,-6.299806367031091e-05
512,0.6,0.599609375,307,0.10003318572139164,0.0037305622726791733,0.00034555098026833875,1.35435566377945e-05,0.03340026071748092,0.0007838127092450919,1.0003534537286687,1.0000079027484003,1.1024562579309323,1.0024230722095406,0.033566943549425875,0.00016668283194495406
1024,0.05,0.0498046875,51,0.014538626473322935,0.0004034503937436818,0.00028731468079912226,8.034053999193705e-06,0.024492699103302762,0.000380341238539005,1.0002891784383825,1.0000018637575834,1.014633672593326,1.000095046120003,0.02446843437366112,-2.4264729641641316e-05
1024,0.1,0.099609375,102,0.027454687564704372,0.0007440949206040183,0.0002731912948616966,7.51077362925225e-06,0.028220690506013092,0.0004211364364605534,1.0002750500216073,1.0000018587267456,1.027644258221352,1.0001895706566477,0.02818465874205763,-3.603176395546396e-05
1024,0.15,0.150390625,154,0.04101152142690867,0.0012315092600194335,0.00027238985143673844,8.36411415370594e-06,0.03016417281724698,0.0005030938359127616,1.0002742496534451,1.0000018598020084,1.0412978864707088,1.0002863650438,0.030151179339334946,-1.2993477912034978e-05
1024,0.2,0.2001953125,205,0.05755393861910796,0.0016588312196542526,0.00028969050060467794,8.604154633517985e-06,0.0324206239236698,0.000533964190560102,1.0002915796608227,1.000001889160218,1.0579411373273893,1.0003871987082813,0.032400478486167235,-2.014543750256855e-05
1024,0.25,0.25,256,0.06974827348585344,0.0018382809569478069,0.00028283038501797364,7.717554833265512e-06,0.032799587566109414,0.0004882255421443001,1.0002847421222596,1.0000019117372416,1.0702375518461262,1.0004892783602728,0.03276774915016416,-3.183841594525579e-05
1024,0.3,0.2998046875,307,0.08363949900600898,0.0022014424594476987,0.00028488801376225226,7.82399537081215e-06,0.03354003014333595,0.0005121174672476806,1.0002867866023757,1.0000018985886134,1.0842221900255073,1.0005826910194984,0.03350997795909042,-3.0052184245532577e-05
1024,0.35,0.349609375,358,0.09890111202365537,0.002617852133373984,0.00029120495090806386,8.067915108567254e-06,0.03435279151075192,0.0005258627041775187,1.000293142422837,1.000001937471929,1.0995944754431541,1.0006933634194988,0.034357996120809066,5.204610057143085e-06
1024,0.4,0.400390625,410,0.11143871606173938,0.0033447068201068746,0.00028873919338412435,9.201511052894983e-06,0.03438262211207391,0.0005986479924217126,1.000290684400477,1.000001945207093,1.112235922109141,1.0007972060474015,0.03440008171374618,1.7459601672268713e-05
1024,0.45,0.4501953125,461,0.12338108088848188,0.0034172114503190376,0.0002858491181156886,8.483306010456046e-06,0.034474010876259634,0.0005466124218559027,1.000287787465265,1.0000019383471492,1.1242742503793457,1.0008931694908638,0.034535405459818765,6.139458355913229e-05
1024,0.5,0.5,512,0.13455807899101524,0.003926803659049281,0.0002824964815832942,8.832368352427747e-06,0.034485741844336226,0.0005877967570719886,1.0002844252472511,1.0000019287656678,1.1355451090785444,1.0009870300875292,0.034500696505569195,1.495466123296781e-05
1024,0.55,0.5498046875,563,0.1403359539006097,0.0037054280253742437,0.0002684355569573249,7.57335359027978e-06,0.03383446027228522,0.0005304076682310421,1.0002703572944103,1.000001921737453,1.1414172949453365,1.0010813410447268,0.033839642232581915,5.181960296694413e-06
1024,0.6,0.599609375,614,0.164586622983101,0.0041603281207060775,0.00029205632074713606,7.948400074883416e-06,0.03555343907230457,0.0005417557574325873,1.0002939435021396,1.0000018871813925,1.1657446669888385,1.0011580440057375,0.03551628251436787,-3.7156557936699847e-05
