N,nominal_load,actual_load,P,generator,corr,cue_noise,deltaF_int,deltaF_cum,retrieval_degradation,failure_probability_increase,corr_final_overlap_mean,uncorr_final_overlap_mean,corr_success_mean,uncorr_success_mean,corr_spearman_cost_error,uncorr_spearman_cost_error
128,0.1,0.1015625,13,mixture,0.45,0.2,0.00101725179811063,0.012049366468317002,0.39380208333333333,0.76,0.5807291666666666,0.97453125,0.17833333333333334,0.9383333333333334,0.010821515051701452,0.29563580287557506
128,0.15,0.1484375,19,block,0.15,0.05,1.800495620307707e-05,0.00032287350552762106,0.057421874999999956,0.09999999999999998,0.904765625,0.9621875,0.8,0.9,0.44213276295721987,0.33636023020489375
128,0.15,0.1484375,19,block,0.15,0.1,1.800495620307707e-05,0.00032287350552762106,0.09325520833333334,0.19666666666666666,0.8679947916666667,0.96125,0.705,0.9016666666666666,0.33688755893182964,0.3526900626151246
128,0.15,0.1484375,19,block,0.15,0.15,1.800495620307707e-05,0.00032287350552762106,0.07489583333333338,0.125,0.8430729166666666,0.91796875,0.65,0.775,0.370273655157757,0.25288709783360397
128,0.15,0.1484375,19,block,0.15,0.2,1.800495620307707e-05,0.00032287350552762106,0.07817708333333329,0.13666666666666671,0.7894270833333333,0.8676041666666666,0.5266666666666666,0.6633333333333333,0.2928944166401885,0.2227725791874702
128,0.15,0.1484375,19,block,0.25,0.05,0.00015337943989646163,0.0027437702118522367,0.4697916666666667,0.675,0.49072916666666666,0.9605208333333334,0.225,0.9,0.07072851076745777,0.39615924795680263
128,0.15,0.1484375,19,block,0.25,0.1,0.00015337943989646163,0.0027437702118522367,0.488359375,0.6683333333333333,0.45221354166666666,0.9405729166666666,0.17666666666666667,0.845,-0.03861332701598308,0.3541430727574058
128,0.15,0.1484375,19,block,0.25,0.15,0.00015337943989646163,0.0027437702118522367,0.47625,0.6066666666666667,0.42744791666666665,0.9036979166666667,0.13166666666666665,0.7383333333333333,-0.20328595894264645,0.38776702494179743
128,0.15,0.1484375,19,block,0.25,0.2,0.00015337943989646163,0.0027437702118522367,0.482734375,0.5833333333333334,0.38138020833333336,0.8641145833333334,0.08666666666666667,0.67,-0.30873596688416305,0.2781327725813582
128,0.15,0.1484375,19,block,0.35,0.05,0.0006385161481878843,0.011363791820442337,0.5692447916666666,0.8433333333333334,0.373046875,0.9422916666666666,0.013333333333333334,0.8566666666666667,-0.6555652593404278,0.43502186147020744
128,0.15,0.1484375,19,block,0.35,0.1,0.0006385161481878843,0.011363791820442337,0.5669270833333333,0.8083333333333333,0.36359375,0.9305208333333334,0.008333333333333333,0.8166666666666667,-0.6831811416535485,0.4720785481979899
128,0.15,0.1484375,19,block,0.35,0.15,0.0006385161481878843,0.011363791820442337,0.559375,0.8,0.3615364583333333,0.9209114583333333,0.0033333333333333335,0.8033333333333333,-0.7399601463330489,0.3591406452868096
128,0.15,0.1484375,19,block,0.35,0.2,0.0006385161481878843,0.011363791820442337,0.4829427083333333,0.6166666666666667,0.35705729166666667,0.84,0.0033333333333333335,0.62,-0.6849936676391778,0.3139757146625169
128,0.15,0.1484375,19,block,0.45,0.05,0.002954884881495312,0.051257805631718334,0.49731770833333333,0.865,0.44809895833333335,0.9454166666666667,0.0,0.865,-0.8443359457611967,0.4339942646736716
128,0.15,0.1484375,19,block,0.45,0.1,0.002954884881495312,0.051257805631718334,0.48205729166666667,0.8216666666666667,0.45044270833333333,0.9325,0.0,0.8216666666666667,-0.812131329181189,0.4445628918454403
128,0.15,0.1484375,19,block,0.45,0.15,0.002954884881495312,0.051257805631718334,0.44453125,0.7166666666666667,0.44625,0.89078125,0.0,0.7166666666666667,-0.8376020181085291,0.36703640825753214
128,0.15,0.1484375,19,block,0.45,0.2,0.002954884881495312,0.051257805631718334,0.41153645833333335,0.675,0.4527083333333333,0.8642447916666667,0.0,0.675,-0.8370987871969013,0.2639592170360092
128,0.15,0.1484375,19,latent,0.15,0.05,2.4552927238463695e-05,0.0004394888018031118,0.03781250000000003,0.07833333333333325,0.9169270833333333,0.9547395833333333,0.805,0.8833333333333333,0.520322326821511,0.38039000137554946
