N,nominal_load,actual_load,P,generator,corr,condition,mean_pair_overlap_abs_mean,mean_pair_overlap_abs_sem,n_realizations,mean_q2_mean,mean_q2_sem,mean_cost_int_mean,mean_cost_int_sem,mean_cost_cum_mean,mean_cost_cum_sem
128,0.1,0.1015625,13,block,0.25,correlated,0.08683493589743589,0.0012056136649626873,50,0.0002627748945401737,1.488347396558017e-05,1.0002626983997973,1.4874425548310764e-05,1.0031423974669966,0.00017731811756532598
128,0.1,0.1015625,13,block,0.25,uncorrelated,0.07120192307692308,0.0008569154791004742,50,0.00011634161188995453,5.5357149848515565e-06,1.0001163291352002,5.53446019988397e-06,1.001394309370372,6.624886655116084e-05
128,0.1,0.1015625,13,block,0.35,correlated,0.1305528846153846,0.00239371365518359,50,0.0008685087472338407,6.50758366417323e-05,1.000867736523345,6.489915531933432e-05,1.0103150441902558,0.0007573587205477899
128,0.1,0.1015625,13,block,0.35,uncorrelated,0.07168269230769231,0.0008469798734780119,50,0.00013392967591223644,8.093703642861103e-06,1.000133904450667,8.088266316207969e-06,1.0016035594642108,9.63545966236661e-05
128,0.1,0.1015625,13,block,0.45,correlated,0.20542467948717946,0.002123013575682399,50,0.0030757473474081563,0.0001106114475178615,1.003068939132148,0.00011013039695735405,1.0359856800849605,0.0012638985868293467
128,0.1,0.1015625,13,block,0.45,uncorrelated,0.07080929487179487,0.000877148998314272,50,0.00012248759773961855,8.177022356576444e-06,1.0001224713427068,8.174042976445282e-06,1.0014675228210925,9.769879216895193e-05
128,0.1,0.1015625,13,latent,0.15,correlated,0.07198717948717949,0.0008109082945312435,50,0.00012297504763278755,6.9185188511986e-06,1.0001229602446096,6.916326634231825e-06,1.0014735793985272,8.27093548737893e-05
128,0.1,0.1015625,13,latent,0.15,uncorrelated,0.0708974358974359,0.0007046076999970181,50,0.00012757606044058243,6.181658524818352e-06,1.0001275600068866,6.179626615831622e-06,1.0015286120800475,7.388987470948704e-05
128,0.1,0.1015625,13,latent,0.25,correlated,0.08814903846153845,0.0015713323272492131,50,0.0002676801327160347,1.8657096352370274e-05,1.0002676028762976,1.8644653442774414e-05,1.0032011564849632,0.00022212266639043464
128,0.1,0.1015625,13,latent,0.25,uncorrelated,0.06968749999999999,0.0008556430852352354,50,0.00012642324563495283,7.768125960813502e-06,1.0001264039336946,7.763590585919524e-06,1.0015143208127677,9.257551686920224e-05
128,0.1,0.1015625,13,latent,0.35,correlated,0.1314342948717949,0.0022377246004059576,50,0.0008091997043369086,4.501647484393353e-05,1.0008086436369006,4.4949358085573555e-05,1.0096320277944415,0.0005308576270717565
