N,nominal_load,actual_load,P,generator,corr,condition,rep,cue_noise,cue_id,target_index,cost_int,cost_cum,initial_overlap,final_overlap,retrieval_error,success,iterations
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,2,2,1.000031411288239,1.0001570465760543,0.75,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,3,1,1.0000537158522382,1.0002685504150102,0.6875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,4,0,1.0000337362171574,1.000168669706383,0.671875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,5,1,1.0000537158522382,1.0002685504150102,0.609375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,6,2,1.000031411288239,1.0001570465760543,0.734375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,7,0,1.0000337362171574,1.000168669706383,0.71875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,8,0,1.0000337362171574,1.000168669706383,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,9,5,1.0000430358787802,1.0002151608770165,0.65625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,10,4,1.0000380227906807,1.0001900994988253,0.78125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.15,11,0,1.0000337362171574,1.000168669706383,0.609375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,0,4,1.0000380227906807,1.0001900994988253,0.5625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,1,5,1.0000430358787802,1.0002151608770165,0.546875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,2,5,1.0000430358787802,1.0002151608770165,0.5625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,3,3,1.0000459420053023,1.0002296889246796,0.671875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,4,0,1.0000337362171574,1.000168669706383,0.5,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,5,2,1.000031411288239,1.0001570465760543,0.671875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,6,1,1.0000537158522382,1.0002685504150102,0.578125,1.0,0.0,1,3
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,7,2,1.000031411288239,1.0001570465760543,0.640625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,8,3,1.0000459420053023,1.0002296889246796,0.609375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,9,2,1.000031411288239,1.0001570465760543,0.609375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,10,5,1.0000430358787802,1.0002151608770165,0.53125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,uncorrelated,0,0.2,11,1,1.0000537158522382,1.0002685504150102,0.625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,0,3,1.00036516491713,1.0018244935608143,0.890625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,1,5,1.0006649361196678,1.003320273839263,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,2,0,1.000097851267652,1.0004891606363715,0.859375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,3,3,1.00036516491713,1.0018244935608143,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,4,3,1.00036516491713,1.0018244935608143,0.84375,1.0,0.0,1,2
